country,tagged_day_zero,train_error,test_error,suggested_test_size
Afghanistan,123,0.6670913536067707,0.6548715386419408,0.40000000000000024
Albania,111,0.28411612553393295,0.24981209709387972,0.2600000000000001
Algeria,104,1.0141869478071524,1.016645254588679,0.42000000000000026
Andorra,60,0.16979198970885187,0.21323674696200284,0.6200000000000004
Angola,1320,0.016906369067573274,0.02146633319645072,0.30000000000000016
Antigua and Barbuda,4158,0.012142412220270083,0.03207365036716652,0.6500000000000005
Argentina,120,1.2572690449154946,1.2537548217742642,0.20000000000000004
Armenia,105,0.5298288495955706,0.8236476109497045,0.6200000000000004
Australia,67,0.17003084960042833,0.17334723319920337,0.6700000000000005
Austria,74,1.0966614991325028,1.1117520687642084,0.5900000000000004
Azerbaijan,70,0.11897322099130049,0.12031973107842144,0.6900000000000005
Bahamas,109,0.060754535133084694,0.06241296485282742,0.3800000000000002
Bahrain,172,0.17446058602111203,0.1898903172724404,0.6700000000000005
Bangladesh,73,0.4100603084087432,0.4089869853200159,0.4700000000000003
Barbados,4740,0.4965408369116324,0.5103477514526421,0.4700000000000003
Belarus,116,0.7495242742409004,0.7422660739571015,0.3300000000000002
Belgium,119,1.890551548399196,2.5731738186280197,0.6400000000000005
Belize,-1,-1,-1,-1
Benin,592,0.10744518560137657,0.10607413287730419,0.5300000000000004
Bhutan,-1,-1,-1,-1
Bolivia,161,0.3255498798364654,0.313288160195078,0.5500000000000004
Bosnia and Herzegovina,104,0.5421182774474076,0.5448330871126322,0.6400000000000005
Botswana,-1,-1,-1,-1
Brazil,176,5.453936949079116,5.399437642067854,0.5500000000000004
Brunei,35,0.025367709566673634,0.02276350473388338,0.5900000000000004
Bulgaria,185,0.8456613709354328,0.7020832300879198,0.22000000000000006
Burkina Faso,64,0.2897841494389016,0.3714686945029847,0.5400000000000004
Burma,41,0.19131229600574234,0.25781472986078613,0.24000000000000007
Burundi,-1,-1,-1,-1
Cabo Verde,505,0.04969691656554605,0.05495320533607067,0.15
Cambodia,22,0.04397802842080669,0.06842697351460936,0.6200000000000004
